year,ifs,cowcode,country.x,police,polity2_P4,additive_FA,additive_FA_lagged,gdp_WDI_log10,gdp_WDI,pop_WDI_log10,pop_WDI,cameo_protests,trade_WDI,lji_LS,repress_index,repress_index_lagged,geocode,countryname,auton,author
1997,MOZ,541,Mozambique,1,5,3,4,9.615255187,4123397347,7.214769244,16397183,1,39.00201728,0.288700014,5,4,Mozambique,Mozambique,0,0
1997,NGA,475,Nigeria,1,-6,2,3,11.19354755,156000000000,8.054833834,113457663,2,51.46101079,0.069799997,6,5,Nigeria,Nigeria,0,0
1997,PHL,840,Philippines,0,8,2,2,11.06870151,117000000000,7.863506558,73030884,5,108.2503174,0.507600009,6,6,Philippines,Philippines,1,1
1997,SGP,830,Singapore,0,-2,5,5,11.08253046,121000000000,6.579330551,3796038,0,323.8644221,0.412999988,3,3,Singapore,Singapore,0,0
1997,SLV,92,El Salvador,1,7,7,5,10.17025415,14799742244,6.759387086,5746284,0,63.55709275,0.475400001,1,3,El Salvador,El Salvador,0,0
1997,TCD,483,Chad,1,-2,2,3,9.564063736,3664913557,6.875263482,7503493,0,49.31310114,0.0189,6,5,Chad,Chad,0,0
1997,USA,2,United States of America,0,10,7,7,13.04429668,11100000000000,8.435616652,272657000,1,23.42832108,0.99089998,1,1,United States,USA,1,1
1997,VEN,101,Venezuela,1,8,2,2,11.47057365,296000000000,7.358653181,22837743,5,51.24503641,0.456999987,6,6,Venezuela,Venezuela,0,1
1998,ARG,160,Argentina,1,7,3,5,11.50016921,316000000000,7.557067379,36063459,5,23.35002797,0.473399997,5,3,Argentina,Argentina,0,1
1998,AUS,900,Australia,0,10,7,7,11.89073,778000000000,7.272096999,18711000,33,40.07043056,0.984600008,1,1,Australia,Australia,0,1
1998,AUT,305,Austria,1,10,6,8,11.49738445,314000000000,6.901828104,7976789,0,76.92714939,0.975499988,2,0,Austria,Austria,0,1
1998,BEL,211,Belgium,0,10,7,8,11.57737919,378000000000,7.008728227,10203008,2,124.7091226,0.965399981,1,0,Belgium,Belgium,0,1
1998,BEN,434,Benin,1,6,7,8,9.631305003,4278632675,6.810922068,6470265,0,59.5936253,0.474700004,1,0,Benin,Benin,0,1
1998,BGD,771,Bangladesh,1,6,3,4,10.78393847,60804885377,8.088783732,122682815,25,27.8800634,0.462399989,5,4,Bangladesh,Bangladesh,0,0
1998,BGR,355,Bulgaria,1,8,4,5,10.52733165,33676864762,6.916811029,8256786,0,77.50169175,0.561999977,4,3,Bulgaria,Bulgaria,0,0
1998,BHR,692,Bahrain,1,-9,3,5,10.14273635,13891090691,5.787956123,613700,0,128.4891015,0.235200003,5,3,Bahrain,Bahrain,0,0
1998,BLR,370,Belarus (Byelorussia),0,-7,4,5,10.41940635,26266750331,7.002986341,10069000,16,122.9576977,0.156900004,4,3,Belarus,Belarus,0,0
1998,BRA,140,Brazil,1,8,2,4,12.16647748,1470000000000,8.229899958,169785250,31,16.43858493,0.532100022,6,4,Brazil,Brazil,0,1
1998,BWA,571,Botswana,1,8,6,7,9.88402836,7656466027,6.197507711,1575824,0,101.8410393,0.843299985,2,1,Botswana,Botswana,0,1
1998,CAF,482,Central African Republic,1,5,4,6,9.182518137,1522362710,6.541016293,3475492,1,51.04953188,0.311399996,4,2,Central African Republic,Cent. Af. Rep.,0,0
1998,CAN,20,Canada,0,10,7,8,12.04401814,1110000000000,7.479361824,30155173,2,78.35142618,0.981299996,1,0,Canada,Canada,0,1
1998,CHL,155,Chile,1,8,2,5,11.13919564,138000000000,7.175446084,14977733,34,54.32116368,0.729600012,6,3,Chile,Chile,0,0
1998,CIV,437,Cote D<U+0092>Ivoire,1,-6,3,5,10.35042146,22408947356,7.192829791,15589414,1,76.3666435,0.299499989,5,3,Ivory Coast,Cote d'Ivoire,0,0
